Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,5-14 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,15-24 years,0,10,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,25-34 years,0,10,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,35-44 years,0,16,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,45-54 years,,50,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,55-64 years,0,116,14,0,,16,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,65-74 years,0,209,18,0,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,75-84 years,,253,16,0,0,17,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female,85 years and over,,644,39,,,40,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Female Total,"Female, all ages",,"1,319",90,,,96,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Hawaii,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Hawaii Total,All sexes,All Ages,,"2,830",185,,18,208,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,Under 1 year,0,12,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,1-4 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,15-24 years,0,32,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,25-34 years,0,38,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,35-44 years,0,65,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,45-54 years,0,113,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,55-64 years,,237,14,0,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,65-74 years,,421,23,0,,35,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,75-84 years,11,494,28,,,35,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male,85 years and over,,451,24,,,29,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Male Total,"Male, all ages",26,"1,870",93,,12,125,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,Under 1 year,0,12,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,5-14 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,15-24 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,25-34 years,0,25,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,35-44 years,0,31,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,45-54 years,0,63,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,55-64 years,0,163,15,0,,17,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,65-74 years,,295,24,,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,75-84 years,,450,23,,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female,85 years and over,,638,35,,,46,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Female Total,"Female, all ages",18,"1,683",102,,12,125,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Idaho,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Idaho Total,All sexes,All Ages,44,"3,553",195,13,24,250,
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,Under 1 year,0,84,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,1-4 years,0,15,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,5-14 years,0,23,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,15-24 years,,199,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,25-34 years,10,364,13,,,22,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,35-44 years,20,493,25,11,,36,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,45-54 years,54,912,81,32,,106,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,55-64 years,97,"2,320",174,58,15,228,
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,65-74 years,202,"3,255",302,114,14,404,
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,75-84 years,208,"3,537",401,121,18,506,
05/01/2020,02/01/2020,04/25/2020,Illinois,Male,85 years and over,160,"3,682",412,85,14,500,
05/01/2020,02/01/2020,04/25/2020,Illinois,Male Total,"Male, all ages",752,"14,884","1,411",424,69,"1,807",
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,Under 1 year,0,65,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,5-14 years,0,19,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,15-24 years,0,70,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,25-34 years,,170,,,,11,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,35-44 years,,265,20,,,26,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,45-54 years,25,542,46,15,,58,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,55-64 years,53,"1,435",130,32,15,166,
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,65-74 years,102,"2,392",236,55,15,297,
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,75-84 years,144,"3,482",342,77,26,435,
05/01/2020,02/01/2020,04/25/2020,Illinois,Female,85 years and over,209,"5,900",530,113,36,662,
05/01/2020,02/01/2020,04/25/2020,Illinois,Female Total,"Female, all ages",544,"14,348","1,313",298,102,"1,660",
05/01/2020,02/01/2020,04/25/2020,Illinois,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Illinois Total,All sexes,All Ages,"1,296","29,232","2,724",722,171,"3,467",
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,Under 1 year,0,45,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,5-14 years,0,15,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,15-24 years,0,87,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,25-34 years,,184,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,35-44 years,,254,19,,,21,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,45-54 years,,489,33,,,43,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,55-64 years,46,"1,311",108,22,10,142,
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,65-74 years,80,"1,902",204,47,12,249,
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,75-84 years,89,"2,128",238,48,15,293,
05/01/2020,02/01/2020,04/25/2020,Indiana,Male,85 years and over,69,"1,827",206,42,11,244,
05/01/2020,02/01/2020,04/25/2020,Indiana,Male Total,"Male, all ages",291,"8,247",815,163,57,999,
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,Under 1 year,0,43,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,1-4 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,5-14 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,15-24 years,0,33,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,25-34 years,0,83,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,35-44 years,,128,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,45-54 years,,329,28,,,38,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,55-64 years,19,884,80,12,,95,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,65-74 years,40,"1,454",141,23,12,170,
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,75-84 years,67,"2,089",199,31,12,247,
05/01/2020,02/01/2020,04/25/2020,Indiana,Female,85 years and over,68,"3,202",251,33,23,308,
05/01/2020,02/01/2020,04/25/2020,Indiana,Female Total,"Female, all ages",203,"8,256",711,103,64,874,
05/01/2020,02/01/2020,04/25/2020,Indiana,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Indiana Total,All sexes,All Ages,494,"16,503","1,526",266,121,"1,873",
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,Under 1 year,0,15,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,1-4 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,15-24 years,0,44,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,25-34 years,0,62,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,35-44 years,,83,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,45-54 years,,196,,0,,10,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,55-64 years,,512,35,,,40,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,65-74 years,,795,59,,,74,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,75-84 years,13,994,77,,,95,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male,85 years and over,,"1,064",91,,,104,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Male Total,"Male, all ages",38,"3,777",275,10,31,334,
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,5-14 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,15-24 years,0,10,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,25-34 years,0,22,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,35-44 years,0,41,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,45-54 years,,106,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,55-64 years,,330,23,,,32,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,65-74 years,,573,41,,12,57,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,75-84 years,,856,59,,11,78,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female,85 years and over,16,"1,721",127,,20,160,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Iowa,Female Total,"Female, all ages",40,"3,670",256,10,49,335,
05/01/2020,02/01/2020,04/25/2020,Iowa,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Iowa Total,All sexes,All Ages,78,"7,447",531,20,80,669,
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,Under 1 year,0,29,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,15-24 years,0,49,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,25-34 years,,81,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,35-44 years,0,106,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,45-54 years,,198,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,55-64 years,,470,25,,,36,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,65-74 years,13,743,53,,,70,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,75-84 years,14,783,61,10,13,78,
05/01/2020,02/01/2020,04/25/2020,Kansas,Male,85 years and over,13,907,82,,,94,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Male Total,"Male, all ages",45,"3,374",234,24,41,296,
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,Under 1 year,0,15,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,15-24 years,0,22,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,25-34 years,,27,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,35-44 years,,66,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,45-54 years,,123,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,55-64 years,,338,17,,,27,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,65-74 years,,540,44,,,57,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,75-84 years,,753,48,,15,67,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kansas,Female,85 years and over,21,"1,322",104,10,12,127,
05/01/2020,02/01/2020,04/25/2020,Kansas,Female Total,"Female, all ages",44,"3,208",221,16,44,293,
05/01/2020,02/01/2020,04/25/2020,Kansas,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Kansas Total,All sexes,All Ages,89,"6,582",455,40,85,589,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,Under 1 year,0,18,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,15-24 years,0,64,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,25-34 years,0,117,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,35-44 years,,210,13,,,15,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,45-54 years,,403,27,,,32,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,55-64 years,,999,71,,,86,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,65-74 years,22,"1,346",132,11,11,154,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,75-84 years,16,"1,362",164,12,,176,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male,85 years and over,,"1,013",100,,,111,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Male Total,"Male, all ages",56,"5,543",511,31,43,579,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,Under 1 year,0,18,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,15-24 years,0,22,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,25-34 years,0,59,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,35-44 years,0,108,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,45-54 years,,302,21,,,27,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,55-64 years,,670,52,,,61,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,65-74 years,11,"1,034",86,,11,102,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,75-84 years,20,"1,383",129,13,,141,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female,85 years and over,26,"1,709",159,14,11,182,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Female Total,"Female, all ages",61,"5,311",458,36,43,526,
05/01/2020,02/01/2020,04/25/2020,Kentucky,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Kentucky Total,All sexes,All Ages,117,"10,855",969,67,86,"1,105",
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,Under 1 year,0,34,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,1-4 years,0,10,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,15-24 years,,72,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,25-34 years,,140,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,35-44 years,15,209,16,10,,22,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,45-54 years,30,379,13,11,,36,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,55-64 years,80,970,73,32,,124,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,65-74 years,126,"1,415",120,52,,201,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,75-84 years,159,"1,431",134,69,,229,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male,85 years and over,105,"1,145",113,49,,172,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Male Total,"Male, all ages",520,"5,814",476,226,26,794,
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,Under 1 year,0,28,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,15-24 years,,30,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,25-34 years,,73,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,35-44 years,12,134,11,,,19,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,45-54 years,16,272,15,,,36,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,55-64 years,63,679,60,33,,92,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,65-74 years,73,"1,067",82,30,,132,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,75-84 years,123,"1,419",116,51,,196,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Louisiana,Female,85 years and over,110,"1,871",136,49,,205,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
